                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                 1.0724,                0.71033,                 1.0174,                0.78337,                0.70246,                0.75458,                0.45307,                 1.5251,                 1.0644,                 1.2786,             0.00063603,             0.00063603,             0.00063603
                     94,                 1.0425,                0.68376,                 1.0188,                0.76338,                0.66427,                0.74626,                0.42574,                 1.5423,                 1.1039,                 1.2976,             0.00063303,             0.00063303,             0.00063303
                     95,                 1.0464,                0.69228,                 1.0188,                0.79616,                0.68433,                0.75852,                0.44985,                 1.5064,                 1.0311,                 1.2866,             0.00063003,             0.00063003,             0.00063003
                     96,                 1.0561,                0.68379,                 1.0139,                0.77091,                 0.7026,                0.75686,                0.45057,                 1.5125,                 1.0418,                 1.2944,             0.00062703,             0.00062703,             0.00062703
                     97,                  1.077,                0.69548,                 1.0243,                 0.7456,                0.69388,                0.73588,                0.43251,                 1.5323,                 1.0653,                 1.3129,             0.00062403,             0.00062403,             0.00062403
                     98,                 1.0287,                0.69356,                 1.0094,                0.78297,                0.67348,                0.73101,                0.43114,                  1.527,                 1.0937,                 1.2938,             0.00062103,             0.00062103,             0.00062103
                     99,                 1.0436,                0.67198,                 1.0093,                0.77631,                0.67341,                0.73984,                0.43393,                 1.5258,                 1.0594,                 1.3072,             0.00061803,             0.00061803,             0.00061803
                    100,                 1.0697,                0.68665,                 1.0216,                0.80832,                0.70799,                0.76579,                0.45513,                  1.514,                 1.0393,                 1.3047,             0.00061503,             0.00061503,             0.00061503
                    101,                  1.063,                0.67352,                 1.0141,                0.79996,                0.65965,                0.73304,                0.42972,                  1.517,                 1.0721,                 1.2934,             0.00061203,             0.00061203,             0.00061203
                    102,                 1.0583,                0.67764,                 1.0077,                0.81284,                 0.6586,                0.73894,                0.41589,                 1.5365,                 1.1047,                 1.3026,             0.00060903,             0.00060903,             0.00060903
                    103,                 1.0627,                0.67999,                 1.0132,                0.75896,                0.71359,                0.73921,                0.43988,                 1.4989,                 1.0507,                 1.2706,             0.00060603,             0.00060603,             0.00060603
                    104,                 1.0556,                0.67054,                 1.0206,                0.78315,                0.66639,                0.72792,                0.44954,                 1.4954,                 1.0729,                 1.2638,             0.00060303,             0.00060303,             0.00060303
                    105,                 1.0336,                0.65276,                 1.0034,                0.76424,                0.72832,                0.75343,                0.45955,                 1.5091,                 1.0543,                 1.2618,             0.00060003,             0.00060003,             0.00060003
                    106,                 1.0316,                0.67354,                 1.0179,                0.78634,                0.69427,                0.75062,                0.44066,                 1.5117,                 1.0422,                 1.2946,             0.00059703,             0.00059703,             0.00059703
                    107,                 1.0225,                0.65792,                0.99599,                0.78683,                0.71982,                0.77203,                 0.4607,                 1.5137,                 1.0359,                 1.2913,             0.00059403,             0.00059403,             0.00059403
                    108,                 1.0362,                0.66514,                 1.0142,                0.78026,                0.72137,                0.76823,                0.47067,                 1.5149,                 1.0323,                 1.2818,             0.00059103,             0.00059103,             0.00059103
                    109,                 1.0411,                 0.6707,                 1.0078,                0.78137,                0.71857,                0.75749,                0.45941,                 1.5052,                 1.0365,                 1.2653,             0.00058803,             0.00058803,             0.00058803
                    110,                 1.0336,                0.66546,                 1.0083,                0.81688,                0.68832,                0.75032,                 0.4552,                 1.5134,                 1.0762,                 1.2828,             0.00058503,             0.00058503,             0.00058503
                    111,                 1.0357,                0.65557,                  1.006,                0.85534,                0.65927,                0.75492,                0.45431,                 1.5022,                 1.0593,                 1.2799,             0.00058203,             0.00058203,             0.00058203
                    112,                 1.0407,                0.66262,                  1.007,                0.77818,                0.69779,                 0.7476,                0.44001,                 1.5342,                 1.0917,                 1.2968,             0.00057903,             0.00057903,             0.00057903
                    113,                   1.02,                0.65299,                0.99802,                0.82093,                 0.6909,                0.75202,                0.45079,                 1.5529,                 1.0804,                 1.3019,             0.00057603,             0.00057603,             0.00057603
                    114,                  1.035,                0.66051,                 1.0036,                0.78711,                0.71039,                0.75053,                0.45638,                    1.5,                 1.0762,                 1.2581,             0.00057303,             0.00057303,             0.00057303
                    115,                 1.0355,                0.66389,                 1.0084,                 0.8056,                0.72013,                0.76949,                0.46352,                 1.5218,                 1.0398,                 1.2924,             0.00057003,             0.00057003,             0.00057003
                    116,                 1.0267,                0.65819,                0.99431,                0.81023,                 0.7504,                0.79027,                0.47467,                 1.4918,                0.99594,                 1.2646,             0.00056703,             0.00056703,             0.00056703
                    117,                 1.0192,                0.65015,                 1.0015,                0.83657,                0.71747,                0.77907,                0.46447,                 1.5063,                 1.0086,                 1.2897,             0.00056403,             0.00056403,             0.00056403
                    118,                   1.03,                0.65735,                0.99802,                0.82175,                0.70779,                0.76004,                0.44487,                 1.5076,                 1.0632,                 1.2978,             0.00056103,             0.00056103,             0.00056103
                    119,                 1.0194,                0.65013,                0.99042,                0.80776,                0.70237,                0.77089,                0.46489,                 1.5121,                 1.0462,                 1.2906,             0.00055804,             0.00055804,             0.00055804
                    120,                0.99818,                0.63146,                0.98985,                0.80301,                0.70395,                0.76475,                0.45838,                 1.5081,                 1.0403,                 1.2771,             0.00055504,             0.00055504,             0.00055504
                    121,                 1.0005,                0.62685,                0.98282,                0.76316,                0.72298,                0.76831,                0.45355,                 1.5361,                 1.0302,                 1.3099,             0.00055204,             0.00055204,             0.00055204
                    122,                0.99279,                0.62549,                0.98237,                0.82424,                  0.714,                0.77409,                0.46142,                 1.5294,                 1.0314,                 1.3051,             0.00054904,             0.00054904,             0.00054904
                    123,                0.97957,                0.62495,                0.98554,                0.80327,                0.67808,                0.75287,                0.45368,                 1.5275,                 1.1117,                 1.3028,             0.00054604,             0.00054604,             0.00054604
                    124,                  1.001,                0.62697,                0.98094,                0.81696,                0.68671,                0.75411,                0.44888,                 1.5281,                 1.0602,                 1.2862,             0.00054304,             0.00054304,             0.00054304
                    125,                0.99025,                0.63844,                0.98988,                0.78797,                 0.7117,                0.77413,                0.45948,                 1.5115,                 1.0359,                 1.2911,             0.00054004,             0.00054004,             0.00054004
                    126,                 1.0026,                0.63545,                0.99321,                 0.8201,                0.66493,                0.75275,                0.45315,                 1.5129,                 1.0462,                 1.2845,             0.00053704,             0.00053704,             0.00053704
                    127,                0.99756,                0.63213,                0.99179,                0.80258,                0.70343,                0.76193,                0.45475,                 1.4923,                 1.0425,                 1.2814,             0.00053404,             0.00053404,             0.00053404
                    128,                 1.0132,                0.63804,                0.99195,                0.81132,                0.71729,                0.77182,                0.45243,                 1.5128,                 1.0553,                 1.2902,             0.00053104,             0.00053104,             0.00053104
                    129,                0.98646,                0.62414,                0.99211,                0.77344,                0.72149,                0.74805,                0.44799,                 1.5397,                 1.0188,                 1.3132,             0.00052804,             0.00052804,             0.00052804
                    130,                0.98764,                 0.6273,                0.98701,                0.81568,                0.69369,                0.75556,                0.44384,                 1.5481,                 1.0487,                 1.3191,             0.00052504,             0.00052504,             0.00052504
                    131,                0.99312,                0.63818,                0.99386,                 0.8502,                0.67015,                0.75869,                0.46605,                 1.5423,                 1.0429,                 1.3055,             0.00052204,             0.00052204,             0.00052204
